"ICES_ACCREU","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"AUNZ",-0.02708518918174141,-0.04718165092378879,-0.047563023678942606,-0.04833020596717308,-0.048856259997376306,-0.05046079857419228,-0.052128337408707814,-0.05433762763142891,-0.056476957142315154,-0.05978047966326283,-0.06334096047501125,-0.06744321719889257,-0.07166951338840599,-0.07647186743788836,-0.08153239822558112,-0.08743520126540671,-0.09389453656557523
"Brazil",-0.027295959181883322,-0.04842691538882171,-0.05070185234467006,-0.051659639063916796,-0.05111166052963467,-0.05013257321947462,-0.04824450210952902,-0.04653132726045728,-0.04467445532201353,-0.04345801612432032,-0.04245381805146886,-0.04175137320778788,-0.041193721879129175,-0.04085622554257373,-0.040662969035287766,-0.04069497508201181,-0.04087428906600632
"Canada",-0.022939001384159052,-0.03922826761002529,-0.038901395242696424,-0.038951543967302715,-0.03893174406255362,-0.03911045367641641,-0.039194662552499704,-0.039408468795909535,-0.03960362408107487,-0.0402379243043538,-0.041039848779833576,-0.0420187141180417,-0.043120332169577225,-0.04443480176843373,-0.045930975701136134,-0.04762340269072185,-0.04955312309520288
"China",-0.0055698999479547595,-0.010131613012831497,-0.0105018530166201,-0.01071799583746147,-0.01098475980760849,-0.011184392504570706,-0.011421066450745254,-0.011477713140239931,-0.01146997393582927,-0.01146883025734402,-0.01150105164805515,-0.011533791568762997,-0.011642762602503964,-0.01175132824871028,-0.011900411561138746,-0.01204124091468417,-0.012193297405382886
"FSU",-0.008575662783338878,-0.015630745958905568,-0.017285263414767993,-0.01845515837904932,-0.019028922472508203,-0.019372804233130925,-0.01957919645269035,-0.019692429633189068,-0.019666041570209902,-0.019862181217644714,-0.020089964092340207,-0.020146330938464185,-0.020105264084402386,-0.020054661799107087,-0.019990360781385608,-0.019961245943878048,-0.019925577692170293
"India",-0.007480176588481324,-0.013178720797712984,-0.012681933556490943,-0.012699267641935741,-0.012710485425848628,-0.012938579306664977,-0.013079895286360887,-0.013313472915277291,-0.01346230517074165,-0.013733734432175293,-0.013994292449615031,-0.014297815419173077,-0.014602697163779155,-0.014963627859410078,-0.015374078534990954,-0.015834752620025316,-0.016350124021891066
"Indonesia",-0.009052044080637422,-0.016931445438483905,-0.018057811763938503,-0.019396170400776125,-0.020632191019309687,-0.022192492481776238,-0.023808061334629205,-0.02539666024850007,-0.02691383261022029,-0.02865424705275066,-0.030503372333412493,-0.032380576026613817,-0.034301420006199734,-0.036384450825466264,-0.038609986707227595,-0.041097422835600916,-0.043808401923917106
"JPNKOR",-0.02274015551048114,-0.03955197712115499,-0.04099990677338683,-0.042250222300910245,-0.043671828981661776,-0.0450127287334956,-0.0464205140951468,-0.04761581598315967,-0.04877953918959177,-0.05009863397681391,-0.05164015646804687,-0.053079278121903606,-0.05460784560602505,-0.056500435185136144,-0.0588090544819897,-0.06115004366917809,-0.06366442959520047
"LACA",-0.02377925652385926,-0.04150137194676162,-0.04163271769926924,-0.042164180759762804,-0.042587424809592545,-0.04329868166463857,-0.043750152818100574,-0.04435927300767695,-0.04478498124529384,-0.04568566720892786,-0.046547134024910175,-0.047529324077122403,-0.0484090847598595,-0.04953988625790995,-0.05070805373658116,-0.05207486384086746,-0.053463513828677645
"MENA",-0.0014318933320267568,-0.002521597579863144,-0.00253262823344258,-0.002560384137872962,-0.002573987904552766,-0.0025962832317927287,-0.0026157292314588076,-0.0026398106242719876,-0.0026574753551500407,-0.0026965668817435784,-0.0027380996499681842,-0.002782103483423004,-0.002826596961369443,-0.0028826129058301397,-0.002942773520941966,-0.0030033952295616118,-0.0030594238194070478
"Mexico",-0.010740487365268336,-0.018948690071385332,-0.019434502436688206,-0.020150422185094552,-0.02082885090178843,-0.02171336006728808,-0.022480126828661184,-0.023393583224751158,-0.024271278655385586,-0.025515045879875853,-0.026863273906929663,-0.028382508070434742,-0.029934391992880727,-0.03175939607735767,-0.033754509143846256,-0.03604336496991767,-0.038543651802114276
"REastAsia",-0.017603602333349233,-0.03153259687362908,-0.03213775624124615,-0.03286002612081784,-0.03326914002872439,-0.034607566025246506,-0.036425282848839835,-0.03837597049436425,-0.04030671127245311,-0.042744150530460434,-0.04533718952280941,-0.0481128638331052,-0.05098544483606027,-0.054076327320162765,-0.05726002876389469,-0.06068995221107931,-0.06416882276495395
