"ICES_ACCREU","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"AUNZ",-0.1727399751737746,-0.3275466896839774,-0.36498812425166394,-0.39291615080205844,-0.41123172117281115,-0.4336162982130132,-0.45339604105657516,-0.4759101055321957,-0.4966122796118966,-0.5280748115675138,-0.5619041511776945,-0.6052142074675415,-0.651753348309525,-0.7068409745765281,-0.765677809309151,-0.8391622862485626,-0.9212694825482148
"Brazil",-0.19857532988815096,-0.4007553342255443,-0.48464060184820745,-0.5282823291540617,-0.5403003011594465,-0.5447831558099803,-0.5363228552517585,-0.5309903185176212,-0.5231648279317547,-0.5219578408425907,-0.5217499617428123,-0.5303170858050654,-0.5420781286721965,-0.5592408238858981,-0.5785340480729317,-0.6067942592814513,-0.6391348078606973
"Canada",-0.05177137080238925,-0.11269200593314599,-0.14465695495001762,-0.17865076404709468,-0.2096323690126578,-0.2437577287151549,-0.27575930250578473,-0.30327324402625866,-0.326303643052106,-0.3471120262023675,-0.36542564488900586,-0.38651620033106626,-0.40889519538435115,-0.43466127845356306,-0.4625683007632553,-0.5039265802437298,-0.5540551802121985
"China",-0.05691111692439632,-0.12528616112194024,-0.15491585184014278,-0.20779455669335256,-0.2705357118737872,-0.3760172648551219,-0.5023245804498533,-0.6547986266472239,-0.8192708595573306,-1.0027160678494407,-1.1953310206474388,-1.4059431910049214,-1.63612315746966,-1.8783620423748926,-2.1344046701919583,-2.4125573880489637,-2.7077113319295076
"FSU",-0.0689378330315682,-0.14203478510976808,-0.17982074615544574,-0.21490982718314067,-0.2427794906058378,-0.2707444587471408,-0.2973182201381319,-0.3291584848974183,-0.36051749241323705,-0.3899855467394686,-0.41526426940227124,-0.43620452136572396,-0.45382574880088455,-0.46790258349034275,-0.47919299323920805,-0.4954092357982942,-0.5130638747168681
"India",-0.05522135766548031,-0.11119825774857928,-0.12150204021832423,-0.1459026598344515,-0.16949431434257756,-0.2180926119965787,-0.26801334624166895,-0.34692248690536553,-0.42746842751034686,-0.5317042561814533,-0.6366623963284579,-0.7168826634518011,-0.7800867932521438,-0.842637873123242,-0.9041564516978351,-0.9771144753517147,-1.0565926406506332
"Indonesia",-1.0707112058164214,-2.1468390077175936,-2.4581963875461854,-2.788179446295602,-3.085474309002112,-3.4234040793985288,-3.7583598963442766,-4.115946147630689,-4.469422019719859,-4.890218853683603,-5.338866594220626,-5.848318656688667,-6.389974107750063,-7.0149249777031635,-7.689960975795163,-8.488141078116119,-9.364963672683258
"JPNKOR",-0.28039425696956277,-0.6199248177498395,-0.8334090445248798,-1.071209541381768,-1.3258892514298792,-1.6377512171995345,-1.9826779830466212,-2.4175457247311516,-2.90659902611784,-3.417195102412718,-3.9460178877490093,-4.421271795983128,-4.874433374429133,-5.405655417126887,-6.0052757556601115,-6.794568889295127,-7.728103217186688
"LACA",-0.09759755165668071,-0.1850964487209783,-0.20439795214641787,-0.22389421238364626,-0.24044698251212138,-0.26444748189793366,-0.2876790508208882,-0.3179765932243561,-0.34775332367611433,-0.3874595961219307,-0.42740123525371043,-0.4800387936131134,-0.5348391441840628,-0.6025466978208605,-0.6731002323118407,-0.7604161055961733,-0.8524951573055217
"MENA",-0.42493779687610145,-0.996703480249761,-1.3026911834701282,-1.5439806723299476,-1.7232341114413297,-1.8257480145365879,-1.8823575229224954,-1.9459336959030793,-2.0033556195645064,-2.07919515180357,-2.1550749228340327,-2.2446660617301495,-2.338218474043119,-2.4495088920433727,-2.565932490571854,-2.6709197503686055,-2.7631441324381667
"Mexico",-0.5923030194453283,-1.985574434978754,-3.238828667599547,-3.959560711368948,-4.365917437369527,-4.5525758728703565,-4.590320552185201,-4.6759108690323075,-4.769908785658461,-4.910468697846159,-5.064061092650318,-5.2609330161573435,-5.473564914867768,-5.7253396999843,-6.003864096139444,-6.331373133942575,-6.695154333094777
"REastAsia",-0.4310528916150802,-0.9441629179503974,-1.1644996995604506,-1.4114151570143063,-1.629403198759416,-1.9008908619044917,-2.187508276959693,-2.52645301935871,-2.873769223383549,-3.314951432914126,-3.7838498262306675,-4.338442206946458,-4.927413640904,-5.619011298597232,-6.351823008774494,-7.255829956496685,-8.228856831945851
"REurope",-0.7579076474403923,-1.5980012384520959,-2.0026515460038197,-2.5161910579985958,-3.0471484649402636,-3.763078372852524,-4.524369617063229,-5.229679255535869,-5.857636897201235,-6.394595159548433,-6.856904776382356,-7.29101976154598,-7.713003657281881,-8.123730879534008,-8.531917544749879,-8.97401875390631,-9.45380805163537
"RSouthAsia",-0.3588092887283678,-0.6780515455589109,-0.7269035381675559,-0.7783791461636325,-0.8018332905639913,-0.8534815958893383,-0.89653898485762,-0.9595500134064849,-1.0127029143970123,-1.0940666940189026,-1.1692625324684847,-1.2665210643731495,-1.3575086411326653,-1.4728649756147072,-1.5867867590786289,-1.7310545336620908,-1.8772486655337928
"SAfrica",-0.0036608275463367868,-0.008008565621908659,-0.01065925992876915,-0.012232784382848472,-0.012772614443223862,-0.013229251512891782,-0.013331884893363899,-0.0134718086363117,-0.013446743302958364,-0.013741158994395875,-0.01404320337756726,-0.014515697308381537,-0.014971417957587718,-0.01549796067423781,-0.01597863548165046,-0.016584584016354764,-0.01720064324621795
"SSA",-0.2917756080636824,-0.5783657435095124,-0.6649252468024613,-0.7698946181759481,-0.8381499987612728,-0.9560529146046548,-1.0545355912592203,-1.2013395377170166,-1.3206353977061047,-1.4965968882332148,-1.6431079537055915,-1.8385278236862312,-2.003068735625635,-2.214373681789372,-2.3962055881798117,-2.627962635098946,-2.832959964933246
"USA",-0.09172430161393796,-0.1886285437077473,-0.2315205827067457,-0.2645385994306748,-0.2933858762886765,-0.32815845045957026,-0.36522116190182974,-0.4043620607833365,-0.4423287921141772,-0.4852610048312722,-0.5291315415301923,-0.5796202428639319,-0.6330690968305963,-0.6938145038298815,-0.7574118034758048,-0.8321461280954345,-0.9120571381459053
"bel",-0.282404317769247,-0.5968611347044073,-0.7548583806170406,-1.0053136278185604,-1.3069300479960244,-1.9497178295307949,-2.76801880136307,-3.998076162960673,-5.409272255983055,-7.1099275644688875,-8.902098340883002,-10.357735709238513,-11.599218714871807,-12.551778182421657,-13.331331425768534,-14.19152597554546,-15.118027823966173
"bgr",-0.08528752104230986,-0.15091675129300652,-0.15380240748681384,-0.1579688376562638,-0.16369530668289833,-0.16980095214571556,-0.1765922462922731,-0.18452563413624556,-0.19278825326730642,-0.20235908245938017,-0.21270018563606108,-0.22331242078732494,-0.23436320836166535,-0.24628721009221088,-0.25873633756802183,-0.2769248967265936,-0.2982267032504371
"cyp",-0.07694986894088984,-0.1285278662541578,-0.12131102764163515,-0.11852725209648973,-0.11790415913472962,-0.11936403920222993,-0.12178592077979333,-0.1250780079007363,-0.12837406876943236,-0.13437129242804824,-0.14137218369858484,-0.1521672358333226,-0.16510712330779498,-0.18297307048759093,-0.20356662167759776,-0.22445724885989948,-0.2451541615171693
"deu",-0.20354449639602423,-0.39105791323088557,-0.4642904609870713,-0.5434950219137757,-0.6223745155467975,-0.7558238034154896,-0.9156232579760837,-1.1379297398579569,-1.3941091182470444,-1.7442698828384118,-2.1441907349925127,-2.6271836304510576,-3.157414752211385,-3.6898917619039517,-4.232633351984639,-4.789459633263659,-5.373966899433336
"dnk",-0.6161023923539566,-1.3996384348685775,-1.8907127794857703,-2.2429779196375677,-2.5253122844723364,-2.918048466453238,-3.343704649492929,-3.742797789597352,-4.104026064534983,-4.48461783062819,-4.860750177228845,-5.2941801249893565,-5.759947939191646,-6.283544121966845,-6.842419700517666,-7.511862610468178,-8.258572860271018
"esp",-0.2698776177258666,-0.5196486858455085,-0.5964957103228641,-0.6697606644699095,-0.7393406922653001,-0.7779239308290276,-0.7966115049809597,-0.8230085694154954,-0.8518882763161817,-0.8951617183617255,-0.9463155258761957,-1.0083665619809778,-1.0803812643911725,-1.1668142784417745,-1.2655766249060396,-1.3764268174118577,-1.4979112694379793
"est",-0.02313447686679293,-0.04763369801289441,-0.0589072635152732,-0.06651410329120422,-0.07185668707253567,-0.08683458016054413,-0.10803660085113576,-0.1238903901088717,-0.13658819941072542,-0.15170479415184124,-0.16810394129890271,-0.18439229205718943,-0.20117677673451295,-0.2201603399452079,-0.24128647929041458,-0.27697818168377353,-0.3228524489959361
"fin",-0.20731457656315566,-0.416654512995851,-0.5093412108711393,-0.5392283788508867,-0.5353879839036124,-0.6544045968107093,-0.8351627601277833,-1.0278499994764934,-1.2130702336414667,-1.3636793579512752,-1.4859996837049638,-1.5912128034994977,-1.6858608532207997,-1.7784554973764632,-1.8686412170747735,-2.0609761853314645,-2.3136541013341394
"fra",-0.15906655335442554,-0.3121640646334911,-0.36876815366757576,-0.4632991227810912,-0.5767287407966171,-0.8002319732280272,-1.0732270182613246,-1.3686286000272885,-1.6598224916435145,-1.8937885910334296,-2.0845153865554966,-2.2396003634210904,-2.370102903940896,-2.4962203500181523,-2.617071386701497,-2.7495404642245203,-2.890397559635083
"gbr",-0.25959473767728225,-0.5539891254275786,-0.7012562209973594,-0.962421290668658,-1.263310977436416,-1.7528692031116289,-2.289547194021724,-2.8742531532211846,-3.435161182402413,-4.023406965251642,-4.586502287320671,-5.100332629015747,-5.57487375058524,-6.055598081176871,-6.532436501735528,-7.097395387200123,-7.712477235960735
"grc",-0.3708818101538891,-0.6399862731646389,-0.6362802206166251,-0.650264635261999,-0.6809391706234513,-0.7204090598653345,-0.7631901452693213,-0.8148084721950388,-0.8705496016061298,-0.9436137286259139,-1.0274770294395275,-1.1247602438337556,-1.234216906340424,-1.3604364268111735,-1.500128976722226,-1.6528147963783768,-1.8169816692491847
"hrv",-0.2165247172796425,-0.5184498456662134,-0.6803912002734114,-0.8223489085308122,-0.9756831256172549,-1.0820099827547502,-1.172760688757002,-1.2489663206776358,-1.3208286195631413,-1.4050154058779518,-1.4987214102130997,-1.5980043458825421,-1.7034590140936556,-1.7951171931698373,-1.8794169544722905,-1.9825412748584403,-2.0965153250612434
"irl",-0.11901610726920975,-0.24225496312834105,-0.28215643796676293,-0.3669424857186909,-0.4706527840099395,-0.5743882564223646,-0.6622355769036581,-0.7140019947922571,-0.7446742076445134,-0.7884333516139597,-0.8404206790020408,-0.9036450095491477,-0.9779726496575769,-1.0663692752069354,-1.166619325681728,-1.282680268509373,-1.411123152969318
"ita",-0.17255318401999675,-0.3819675781189691,-0.5048694023986555,-0.6857041270506348,-0.8961302433680984,-1.0636955594425013,-1.2025610607758197,-1.3037010474083566,-1.3822013365280106,-1.4778669289859714,-1.5847176139481944,-1.7100382920892887,-1.8514634790761653,-2.007215744489932,-2.1757377456032345,-2.3640280233290567,-2.571346208054215
"ltu",-0.06393550685643845,-0.1147081531739591,-0.1203106946572885,-0.12782350231490547,-0.13864068892283088,-0.16586290287539107,-0.2048727285550278,-0.2543264942615586,-0.3122317053830814,-0.3876906123543522,-0.47570445589045773,-0.5491317586742483,-0.6144372188260694,-0.6723917792292866,-0.7259711637626398,-0.7968143689832008,-0.8782448574019441
"lva",-0.18088532346212105,-0.40587114654905276,-0.5335400445046878,-0.6451549979146098,-0.7523568036419404,-1.0369341786788278,-1.4272273580907768,-1.8071450333630001,-2.1766874440349193,-2.492721350922855,-2.769859966252386,-3.0209214948338503,-3.2621683233045706,-3.506813230263073,-3.754889250093507,-4.0987616451929165,-4.494826403547747
"mlt",-0.07267669420486511,-0.12011969166009218,-0.11016331363009613,-0.10733501549888835,-0.10907064294333191,-0.11250715081708718,-0.11831285571159977,-0.12376665284419275,-0.12953331295041393,-0.13608575160780623,-0.14329600405155185,-0.15506691764249902,-0.17009338434795795,-0.18880610573959178,-0.2102640315177151,-0.20568380806186282,-0.18422397027726412
