"ICES_ACCREU","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"AUNZ",-0.052165822863059486,-0.09030969027469249,-0.09032069918325503,-0.09133614686626101,-0.09205916371820555,-0.09482849267781202,-0.09774610338527667,-0.10152119041209051,-0.10511531543616615,-0.11104765716645204,-0.11755861503363052,-0.12542933847720095,-0.13370473707227104,-0.14406371279201968,-0.15540967529036331,-0.16633032899517897,-0.177156475332374
"Brazil",-0.02943295978843352,-0.05169484743454689,-0.053423605043390054,-0.053823572597244684,-0.052740548182406144,-0.05132235067474289,-0.04907082698626386,-0.047204180953908104,-0.04529674689884855,-0.04394359818085114,-0.04277111511703513,-0.042103661640291445,-0.041678793716082296,-0.041687638597887045,-0.04193485762502558,-0.0426175120900707,-0.04353579918179307
"Canada",-0.027037984763378375,-0.04556361099009587,-0.04426643767555527,-0.04349803583671985,-0.04277117072364334,-0.04246066822942707,-0.04218252931544875,-0.04234562597492664,-0.04264478984578046,-0.043494392599552345,-0.04455638019406072,-0.04594681813206991,-0.04753274711478683,-0.04937480722215781,-0.05141889298144742,-0.053193267920337295,-0.05494643444849956
"China",-0.03263178733985406,-0.05835752324941934,-0.059347294557132724,-0.05949963316391749,-0.05998716233883705,-0.060104625766710384,-0.060448282117153695,-0.059846830893250935,-0.058932781122011946,-0.058144980610963515,-0.05759845746911019,-0.057244499326047915,-0.05738563496453519,-0.057697303320303206,-0.058318113478394995,-0.05912064486304214,-0.060122996853295696
"FSU",-0.035225967413476944,-0.06328523454202095,-0.0687149470154913,-0.07234353120764148,-0.07376936952969704,-0.07350756118630342,-0.07238094238121162,-0.07218872987099223,-0.0721990929163141,-0.07237749883846067,-0.07235969606005366,-0.07202606210068296,-0.07152860306021136,-0.07146949289690285,-0.07161921507299329,-0.07131706898686474,-0.07067371286373358
"India",-0.027337170491892326,-0.047391961305587316,-0.04480663327850465,-0.0440353902161017,-0.04336848578807562,-0.04336658593415699,-0.04314209643239142,-0.0431354011536933,-0.042896711561335454,-0.04320835675604151,-0.0436037905903186,-0.04409342721432008,-0.04459539209641372,-0.045389915979965334,-0.04641164003614806,-0.047548790247131656,-0.04883849817217678
"Indonesia",-0.1507748950358101,-0.27823642942709226,-0.2927005703566632,-0.3103374353984334,-0.32660324417468356,-0.346966623073508,-0.3680213536522925,-0.38732686505056346,-0.40513746809737183,-0.426134739061812,-0.44887250029742587,-0.47184672320937926,-0.49548834744380654,-0.5248835974417054,-0.5583333520603584,-0.5868988914454976,-0.6135668943365813
"JPNKOR",-0.04727475985101259,-0.07960565653555296,-0.07875679400736191,-0.07803384323368245,-0.07795429341593829,-0.07802889841062033,-0.07843301980151596,-0.07883067411699196,-0.07940781389634832,-0.08036831275730627,-0.08177731099345831,-0.08344312560217837,-0.08551864668130404,-0.08802650592617534,-0.09109097436125202,-0.09455993778297866,-0.09853439956595267
"LACA",-0.04229288932091624,-0.07378123458889885,-0.07398114258365673,-0.07528304817584486,-0.07652642956873512,-0.0785269742685335,-0.08009941347134619,-0.08211810853485657,-0.0838011763010793,-0.08596336993325071,-0.0878141903968288,-0.09025422654783677,-0.092647197705642,-0.09585903221082104,-0.09926575464489495,-0.10297238411371978,-0.10662663489687807
"MENA",-0.03622530521375511,-0.0631483450368231,-0.0626527245094044,-0.06289738399399836,-0.06297354062031468,-0.06338744904431648,-0.06379838037082752,-0.06445955913781942,-0.06502544457304138,-0.06617350960176349,-0.06739844215527535,-0.06886623032340555,-0.07042397449182891,-0.0723570164097409,-0.07441908905191363,-0.07633056274870542,-0.07801954466082339
