"ICES_ACCREU","total_land","land_remaining","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"AUNZ",8495291,8477052.190088827,-0.2146931742676328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8455677.402015122,NA,-0.25214883186276404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8449341.328016274,NA,NA,-0.07493277826964295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8449019.74551424,NA,NA,NA,-0.003806006758977354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8448696.506123653,NA,NA,NA,NA,-0.003825762044873393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8448339.153366216,NA,NA,NA,NA,NA,-0.004229679183975765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8447926.049589729,NA,NA,NA,NA,NA,NA,-0.0048897631710453915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8447502.429439994,NA,NA,NA,NA,NA,NA,NA,-0.0050144869551238536,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8447098.449347543,NA,NA,NA,NA,NA,NA,NA,NA,-0.004782242986323126,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8446646.181975119,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.005354115086209088,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8446100.342431216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.006462204431723073,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8445550.62887396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0065084895391920305,NA,NA,NA,NA,NA
"AUNZ",8495291,8445056.840075431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.005846733034076124,NA,NA,NA,NA
"AUNZ",8495291,8444596.049700625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0054563324265566315,NA,NA,NA
"AUNZ",8495291,8444152.973526202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.005246860498897554,NA,NA
"AUNZ",8495291,8443681.061644837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0055886230726054364,NA
"AUNZ",8495291,8443149.280784981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.006297974259961148
"Brazil",8358140,8350306.058,-0.09372829361555812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8341076.0999525,NA,-0.11053436824218776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8338223.8284925,NA,NA,-0.03419548540045669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8337947.241764,NA,NA,NA,-0.003317094074095639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8337711.671863,NA,NA,NA,NA,-0.0028252745450374483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8337463.9185595,NA,NA,NA,NA,NA,-0.0029714784253842552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8337168.5150335,NA,NA,NA,NA,NA,NA,-0.0035430861097029975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8336836.859983,NA,NA,NA,NA,NA,NA,NA,-0.003978029829942997,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8336476.55254,NA,NA,NA,NA,NA,NA,NA,NA,-0.004321872300627749,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8336058.114925,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0050193581468405135,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8335561.895285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.005952689306609749,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8335042.394596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.006232341568879196,NA,NA,NA,NA,NA
"Brazil",8358140,8334535.946842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.006076126911225277,NA,NA,NA,NA
"Brazil",8358140,8334033.619211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.006027061784885657,NA,NA,NA
"Brazil",8358140,8333529.456495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0060494442311598284,NA,NA
"Brazil",8358140,8333062.149595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.005607550827535501,NA
"Brazil",8358140,8332657.492445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.004856043825607337
"Canada",9199204,9188884.01677669,-0.11218343699421762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canada",9199204,9176807.256044338,NA,-0.1314279373893834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canada",9199204,9173269.180822814,NA,NA,-0.03855453343202253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canada",9199204,9173148.216907011,NA,NA,NA,-0.0013186565598122257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
