"ICES_ACCREU","total_land","land_remaining","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"AUNZ",8495291,8236359.769559589,-0.20189230074478814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8216832.137160197,NA,-0.2370905709044413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8211042.384005019,NA,NA,-0.07046210824964705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8210746.885554407,NA,NA,NA,-0.0035987933905690106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8210449.892115261,NA,NA,NA,NA,-0.003617130612898478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8210121.492214608,NA,NA,NA,NA,NA,-0.0039997796097535065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8209741.744870466,NA,NA,NA,NA,NA,NA,-0.004625355964604783,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8209351.019391359,NA,NA,NA,NA,NA,NA,NA,-0.004759290745670608,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8208976.228649635,NA,NA,NA,NA,NA,NA,NA,NA,-0.004565412550139314,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8208555.619952348,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.005123765565540062,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8208048.024837534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.006183732416698007,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8207538.302291499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.006210033670517312,NA,NA,NA,NA,NA
"AUNZ",8495291,8207083.024971781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00554706299197294,NA,NA,NA,NA
"AUNZ",8495291,8206660.59282533,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.005147165505281492,NA,NA,NA
"AUNZ",8495291,8206256.605816775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.004922672309715104,NA,NA
"AUNZ",8495291,8205825.189202208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.005257167004268926,NA
"AUNZ",8495291,8205335.759819024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.005964413960801718
"Brazil",8358140,6900578.483814374,-0.10875871075162191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,6891727.721401874,NA,-0.1282611658320998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,6888995.553301874,NA,NA,-0.039644167768204674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,6888730.482285374,NA,NA,NA,-0.0038477455014840345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,6888498.176866373,NA,NA,NA,NA,-0.0033722529804047774,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,6888249.659410873,NA,NA,NA,NA,NA,-0.0036077160669667485,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,6887952.278162873,NA,NA,NA,NA,NA,NA,-0.004317225169003791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,6887620.7834233735,NA,NA,NA,NA,NA,NA,NA,-0.0048126747415278,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,6887265.008726373,NA,NA,NA,NA,NA,NA,NA,NA,-0.005165422258091024,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,6886854.777902873,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0059563676289564604,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,6886369.9735068735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.007039561768529268,NA,NA,NA,NA,NA,NA
"Brazil",8358140,6885864.438824373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00734109094406854,NA,NA,NA,NA,NA
"Brazil",8358140,6885374.069379373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.007121392664011239,NA,NA,NA,NA
"Brazil",8358140,6884888.773329373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.007048216191452017,NA,NA,NA
