"ICES_ACCREU","total_land","land_remaining","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"AUNZ",8495291,8477061.602266192,-0.21458238138997165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8455696.454007821,NA,-0.25203483542763916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8449359.94124608,NA,NA,-0.07493779839670145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8449008.870217104,NA,NA,NA,-0.004155001460670604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8448614.445078319,NA,NA,NA,NA,-0.004668300682875159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8448156.586863741,NA,NA,NA,NA,NA,-0.005419329021982833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8447621.909596045,NA,NA,NA,NA,NA,NA,-0.006328922318132868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8447054.985991778,NA,NA,NA,NA,NA,NA,NA,-0.006711043774609848,NA,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8446485.531195315,NA,NA,NA,NA,NA,NA,NA,NA,-0.006741459566772523,NA,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8445863.225243336,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.007367631776322714,NA,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8445154.521493636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.008391134580310045,NA,NA,NA,NA,NA,NA
"AUNZ",8495291,8444433.115379464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.008542248840281985,NA,NA,NA,NA,NA
"AUNZ",8495291,8443748.137189649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.008111594709270253,NA,NA,NA,NA
"AUNZ",8495291,8443047.987847691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.008291925938364031,NA,NA,NA
"AUNZ",8495291,8442298.267969256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.008879730158040111,NA,NA
"AUNZ",8495291,8441505.809835369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.009386758306018095,NA
"AUNZ",8495291,8440675.168300048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00983996876899873
"Brazil",8358140,8350308.5909,-0.09369798902626458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8341070.35726,NA,-0.11063343994337504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8338188.98172,NA,NA,-0.034544433946570585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8337836.613425,NA,NA,NA,-0.004225957168546568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8337461.351805,NA,NA,NA,NA,-0.0045007072865366204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8337006.39543,NA,NA,NA,NA,NA,-0.00545677342062012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8336433.87668,NA,NA,NA,NA,NA,NA,-0.006867198162563426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8335824.069135,NA,NA,NA,NA,NA,NA,NA,-0.0073149688946227975,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8335230.488515,NA,NA,NA,NA,NA,NA,NA,NA,-0.007120839104535204,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8334508.82228,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.008658023746244137,NA,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8333562.86207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.011349921515124706,NA,NA,NA,NA,NA,NA
"Brazil",8358140,8332584.16354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.011744058888119024,NA,NA,NA,NA,NA
"Brazil",8358140,8331700.43046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.010605750420933369,NA,NA,NA,NA
"Brazil",8358140,8330943.20474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.009088489514486042,NA,NA,NA
"Brazil",8358140,8330333.51432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.007318384065480021,NA,NA
"Brazil",8358140,8329729.316775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00725298145580755,NA
"Brazil",8358140,8329035.917155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00832439559114162
"Canada",9199204,9188896.21996276,-0.1120507821898431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canada",9199204,9176835.475523317,NA,-0.13125346233905377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canada",9199204,9173306.212677136,NA,NA,-0.03845838639686683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canada",9199204,9173184.12843002,NA,NA,NA,-0.0013308641866438542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canada",9199204,9173053.020785838,NA,NA,NA,NA,-0.0014292490191691876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canada",9199204,9172915.888647597,NA,NA,NA,NA,NA,-0.0014949454443358157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canada",9199204,9172774.731283968,NA,NA,NA,NA,NA,NA,-0.0015388494274071185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canada",9199204,9172618.670833694,NA,NA,NA,NA,NA,NA,NA,-0.0017013439754687276,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Canada",9199204,9172440.455389272,NA,NA,NA,NA,NA,NA,NA,NA,-0.0019429069365806129,NA,NA,NA,NA,NA,NA,NA,NA
