"ICES_ACCREU","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"AUNZ",-0.6783763551928113,-1.263185212971829,-1.4084541219511193,-1.5217224723627187,-1.6165324480787113,-1.6855529283458681,-1.7405327668338133,-1.783990902231769,-1.8231524043357927,-1.869181321173985,-1.9244862382023165,-1.9658684970655593,-2.0041099268214735,-2.039708855569944,-2.0799692518672197,-2.120643276783063,-2.1689443032872235
"Brazil",-0.1895682778938479,-0.46332471678376397,-0.6469454916438577,-0.7753959542041611,-0.8716549208207525,-0.9521600399144847,-1.0261522219027985,-1.0709375964652934,-1.1007754939725722,-1.126930809723603,-1.1542071666034492,-1.1770439391363352,-1.1998596282407625,-1.2226918084363936,-1.2474704357239297,-1.272059642284784,-1.2973007678771187
"Canada",-0.0849530457455061,-0.16596863922537786,-0.195104058869211,-0.24011344825797254,-0.29409850448959274,-0.3460551887924157,-0.39584873624652905,-0.44476574251899326,-0.49250820960689,-0.5335296604204176,-0.5709127394352143,-0.6072979207157436,-0.6442316700835948,-0.6843015255242224,-0.7283974501380741,-0.7786419172913228,-0.8361469069697924
"China",-0.06398509570468836,-0.11678523183452638,-0.12801083897330257,-0.14110292706326355,-0.15644685526818858,-0.17673944054404922,-0.20189450889479543,-0.2268937141316596,-0.25334001144281526,-0.2901609210598455,-0.3363729734680576,-0.385103393613917,-0.43743894575701825,-0.49677268189717294,-0.5631418339389405,-0.6305888055804676,-0.6991450382004105
"FSU",-0.09866142167211933,-0.19276503843790316,-0.22205635930854228,-0.2452286874337406,-0.26407439247935205,-0.2873894687423051,-0.3135091271363022,-0.33490761122462187,-0.3532149590665501,-0.37040485380969157,-0.3872719461225249,-0.4016763542074697,-0.41494641440471547,-0.42724323531869723,-0.43947154404264666,-0.4516527118199831,-0.46435105630576734
"India",-0.07719721729370077,-0.14020468693312083,-0.15207410113026176,-0.16169860424846139,-0.17019424928894633,-0.18029751490163948,-0.19178680489522204,-0.20341153456486794,-0.21592278446216362,-0.22983482795539967,-0.2456957391111403,-0.26111110925729486,-0.2772912846947584,-0.2946905436612801,-0.3140995647613609,-0.33485969853636055,-0.35761111562273573
"Indonesia",-0.5741412141929803,-1.4034058852416376,-1.9197394142888347,-2.3427015764858727,-2.714968461289202,-2.9672224943737224,-3.1566148744941347,-3.288303614530952,-3.3958218184233946,-3.5110783259354017,-3.644312354706747,-3.758080763307925,-3.8676527614912803,-3.966242542034948,-4.062705887652607,-4.168091737018065,-4.283405372850602
"JPNKOR",-0.13269093468019078,-0.2881567672044283,-0.3779303029614378,-0.5474112065953385,-0.77607064534011,-0.9975725827324644,-1.220738126321419,-1.432277895048062,-1.6421468919436855,-1.873603054905404,-2.1288275045661886,-2.3579210575523923,-2.574487180763363,-2.7856739972343614,-2.998700653841291,-3.2157583027120795,-3.4395675253243607
"LACA",-0.21312465509750744,-0.42943191178532736,-0.4838500611541674,-0.5214880767780761,-0.5501577520747758,-0.5740763315289277,-0.5968258104328883,-0.61683062754051,-0.6371004211198406,-0.6614267165173771,-0.6901206089543255,-0.7145362249092568,-0.7376559440292918,-0.7331222684461403,-0.7106958232745986,-0.740706949242198,-0.8080351803684827
"MENA",-0.3747353177246615,-1.0870949436193489,-1.6085947946582801,-1.87902575988953,-2.003548570164704,-2.153452745879192,-2.32207350312712,-2.4497451787127478,-2.5599878297925316,-2.6578805059001565,-2.7565095651947535,-2.8163691523947043,-2.859279992467667,-2.88305147908835,-2.9001659856804807,-2.9124073583950416,-2.925492621691128
