"ICES_ACCREU","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"AUNZ",-0.606774593063053,-1.0380778467696472,-1.0643837021304114,-1.09055743064016,-1.1180896353740755,-1.1414532979274084,-1.1636878099957504,-1.1851155418247883,-1.2079595297189827,-1.2341183069351613,-1.2656956913517314,-1.294443032785264,-1.3251641692067606,-1.358240599858751,-1.3971574074289284,-1.4346011396413116,-1.4761508058356965
"Brazil",-0.11233983880936105,-0.19188375144773007,-0.1966753552007927,-0.20142876550947042,-0.20688817282014105,-0.21459127063836458,-0.2245494244620616,-0.23326740573073046,-0.24214049122368575,-0.2511002159504505,-0.26098469374262745,-0.2710260609010473,-0.28198638584470137,-0.2935915012932555,-0.3062521054586931,-0.3197298550490002,-0.3341481475703234
"Canada",-0.07443521926423502,-0.12750669007460802,-0.13054600221478196,-0.1338477407309413,-0.13747696354218242,-0.14159823062980248,-0.14599076097325803,-0.15040704334227106,-0.15484199857314085,-0.15949141584437054,-0.1645209787261015,-0.16923546054556926,-0.17411022699592715,-0.17893800168535812,-0.1842512908087346,-0.1897570335847254,-0.1961042163529214
"China",-0.056886822479707,-0.09634814569126071,-0.09805806013616358,-0.09957960692545953,-0.10152030412849955,-0.10359821293619564,-0.10630246043534797,-0.10875867846790177,-0.11146162573314466,-0.11446490477324822,-0.11792917398485425,-0.12159261050203041,-0.12551813669964274,-0.12982218728679884,-0.1344412704072484,-0.13979637916520238,-0.14547646080457222
"FSU",-0.07482787000555602,-0.12710644163294038,-0.12933475348497758,-0.13171209609141865,-0.13407572881418695,-0.1371835456059789,-0.14066624926951654,-0.1440292525743958,-0.14733236129120808,-0.15036231726752725,-0.1533542537249355,-0.15693969693941767,-0.16112826918122103,-0.16534611447063252,-0.16981174853120118,-0.17431183871946532,-0.17904566147870504
"India",-0.06889771925484567,-0.11680007101294576,-0.11886949681128023,-0.12119665036127714,-0.12392500264107875,-0.1268294899303024,-0.13017314883683184,-0.1331698102730594,-0.13647726754770773,-0.1401814534731871,-0.14474209886253808,-0.14931061432433834,-0.15444140821285757,-0.15977371656663575,-0.16580601679477835,-0.1718091848185943,-0.1782310353854788
"Indonesia",-0.27173477280455494,-0.4631005521352649,-0.47387646252140536,-0.4848949705782313,-0.497942255783268,-0.5132150221051512,-0.5323384460990899,-0.5496109829362772,-0.5680349181786171,-0.5905751638769496,-0.6181746574515201,-0.6433492790630324,-0.6685824152273812,-0.6952542180561183,-0.7241831712261004,-0.7555380505696263,-0.7895672436104895
"JPNKOR",-0.1010765960216431,-0.17057336085700703,-0.17286200195916201,-0.17501159301850366,-0.17760929443328966,-0.18070647582293375,-0.184617028988443,-0.18832957869553413,-0.19223153218206335,-0.19610964453455892,-0.2002977791803029,-0.20564989787877908,-0.21204503992138246,-0.2191951881981402,-0.22709580054357525,-0.2352502414196489,-0.24365084940098924
"LACA",-0.11725361500978249,-0.20065874446156817,-0.20604323481242526,-0.21130649347426145,-0.21712778558974355,-0.22432153351800155,-0.23310541212068214,-0.2420495192410277,-0.251905309047451,-0.26218583568248244,-0.2734171637949312,-0.2841984563414002,-0.295320614079575,-0.306898462242966,-0.31938996373002126,-0.33310482001105424,-0.3481280949315657
"MENA",-0.07019462017805456,-0.12059023619793718,-0.12419777544804278,-0.12798430248975867,-0.13209246189365142,-0.13707268823338614,-0.1428911793924792,-0.1476233424648865,-0.15218395003856466,-0.15614306329788663,-0.16023338821431476,-0.16486401833417652,-0.17034680425749293,-0.17574841354912607,-0.18149657197653601,-0.18740103571834865,-0.19372050083255044
