"ICES_ACCREU","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"AUNZ",-0.333643295182362,-0.4686135315887796,-0.48104596416149725,-0.4922951708333567,-0.5035326856434374,-0.5149361960336551,-0.5270205452471921,-0.5378626890653604,-0.5488019963487467,-0.5615271241865116,-0.5768881862802777,-0.5923724243450001,-0.6096632908622057,-0.6274144035451679,-0.6474699035916909,-0.6669331228956965,-0.6883973319013359
"Brazil",-0.11499528375111812,-0.19763461050191777,-0.20284964221163326,-0.20792757556959973,-0.2136722785073153,-0.22165027474099208,-0.23190292857717676,-0.24086300990363574,-0.24997470519035891,-0.25910313530719264,-0.2691340280465915,-0.2792238624176435,-0.29018335027019004,-0.3016314054619329,-0.31402981267673047,-0.3279860455237871,-0.3434277944482922
"Canada",-0.061298163346468204,-0.10024527347624046,-0.10304704587598135,-0.10609781812508379,-0.10942390549664172,-0.11312090794960428,-0.11701287797254434,-0.12085044869100114,-0.1246527914693818,-0.12856138438922526,-0.13273323025412287,-0.13666072867036805,-0.1407234557089576,-0.1447889674002778,-0.14927408431439915,-0.1540760069562941,-0.15967117348610893
"China",-0.019217663360882042,-0.017379431422881453,-0.017708751411660284,-0.018000451516897442,-0.018365850664070482,-0.018750115574184267,-0.019243789325606997,-0.019687442052940263,-0.020172005670326953,-0.02070765838011468,-0.021324022655933028,-0.02198326937082884,-0.02269502419384173,-0.023469749179616528,-0.024297106142801006,-0.025243660093421383,-0.026237687156260847
"FSU",-0.027837708348410484,-0.028166492996140047,-0.02882845804117462,-0.02955682398528836,-0.030305579786704673,-0.03128236892119274,-0.03238500077104023,-0.03345554790608052,-0.034510575104196306,-0.03524210159139285,-0.03578829692939545,-0.03691096327811394,-0.038477991439822556,-0.03994602618501153,-0.041406225370443916,-0.0429959453340345,-0.0447347128959108
"India",-0.029272963914239725,-0.03421071193104863,-0.03474643637300101,-0.03532621496404875,-0.03600638494073438,-0.036803332425383584,-0.037768515458502794,-0.0385937942376402,-0.039484381445364924,-0.04048703294323719,-0.04173501101160104,-0.043049079619617014,-0.044568328979310845,-0.046248690652928026,-0.04820525966727773,-0.05005899998075103,-0.051970322022987236
"Indonesia",-0.07271225721662278,-0.046412806708573395,-0.04768522483494797,-0.04902191306214165,-0.05058832494810872,-0.05231718212564962,-0.054398421674040076,-0.05650206412668446,-0.05887213078953346,-0.06178762642048419,-0.06532283369012903,-0.068957602922326,-0.07287296197255877,-0.07741029513909092,-0.0825655300803807,-0.08805843803367797,-0.0939454755482294
"JPNKOR",-0.06333178228604686,-0.09209522037918472,-0.09441818716872108,-0.09674557691192742,-0.0993963467687875,-0.10238786111240739,-0.10590688050495789,-0.1090696254167578,-0.11219221511648003,-0.11536134739422721,-0.11878061758321401,-0.12296012069989981,-0.1278374154587425,-0.13318517909778338,-0.139026852172508,-0.14515055567236868,-0.15155146287730847
"LACA",-0.06410837048498319,-0.08934549761069333,-0.09210034865797523,-0.09494894443187185,-0.09813403682680244,-0.10227831308312618,-0.10735534076208308,-0.11243725198168963,-0.11790036554919503,-0.12369583918215854,-0.13003327834292255,-0.1363869228167558,-0.14307184926520833,-0.1496952969098464,-0.15658135622846903,-0.1644441563950938,-0.17322485953378264
"MENA",-0.014921439063397823,-0.004744623133923209,-0.004830588457493956,-0.004913148855745231,-0.005003771802680745,-0.005137464432547478,-0.005309685905707795,-0.005494804831684963,-0.005706371430702628,-0.0059484831064327,-0.0062294995505363104,-0.006487676160105149,-0.006750841855929224,-0.007004431372026332,-0.00726785183955414,-0.007562964536944605,-0.007892460116787348
